	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19
0	-185.5593840585358	-6.332859961260068	261.64435831353677	74.03190552437557	-425.11156334494336	5.697771142569846	538.60159943042	-56.57041684063418	140.41885003049575	-559.5650335522498	-24.785604856247556	49.495451946382836	-702.6428365219999	362.8233108005317	481.72299609550635	-251.44021762542954	22.49054300424536	194.68610007117294	-113.02759041364583	-370.8566759096328
1	-184.63260682165742	-6.318184376296848	269.2964413467674	72.87025239676515	-400.47233044577376	5.717890433925769	549.1868814984808	-55.110102922181994	134.6274217735287	-561.4126201512	-24.795100252929196	48.27430772631175	-733.686337008	336.26519331122694	476.72069898256734	-267.88703047465447	22.453255866727904	197.77134772953454	-109.51589847035945	-344.58076177157335
2	-183.22381180769062	-6.2570662543891515	258.1388276134478	73.57564389973982	-380.9212305244614	5.743460732401909	538.8554535038046	-52.65546669139325	131.5162612906762	-522.9541208619999	-24.81992402660767	46.612056775157996	-706.1826196873334	327.41743363081304	444.3802060684806	-249.50793816744655	22.65259509825726	195.07451407507844	-107.14913250386016	-331.1165917528407
3	-203.1631854805219	-6.4657570236188775	283.716057169353	77.62394494422844	-428.39319496528503	5.886111512490931	602.0733328367284	-57.04455619158399	151.9607696297543	-582.5460721439997	-26.22700648913891	50.093634303482524	-748.4866218239999	368.46769196133255	505.6056849252852	-280.8710933194537	23.893225272452575	219.6412372681281	-122.21960222076791	-370.60640124095823
4	-189.01133681244036	-6.493545992620231	280.15613256780176	74.98515124223928	-449.4153500412783	5.793352159985137	565.7837123578641	-57.91211587420427	142.15377860324895	-615.7437747125001	-25.68352921286742	49.99864994152383	-707.845979267	363.8284888933935	507.3982583969516	-277.67563985392997	23.094960008770627	206.99812731623695	-116.14689299860372	-364.54550410600217
5	-181.07188018937512	-6.332567910105597	251.81122471412496	71.42890405457179	-390.1367720176469	5.67947378890664	530.0460480648377	-52.44525457327857	129.88555487855075	-531.3184798625001	-24.905021570743163	46.021251629777495	-696.3246850833334	324.434489537926	430.3178920066828	-250.57189398082755	22.357535029161095	190.31223026086315	-103.90607939541026	-326.337859565803
6	-180.53101530306867	-6.254710282128461	254.13996997097956	71.54842363352503	-380.9783582971087	5.658943123877078	536.7331527066658	-54.20007913156916	134.9451642169616	-532.370680149	-24.857691922914263	47.82783501529888	-651.43219218	334.8733870923644	491.2347147684936	-246.93373552997656	21.998446235874646	190.07429357136687	-106.26713799931075	-349.9366384191551
7	-195.83746415416152	-6.5311399834278	284.2479519678834	76.86736542656315	-434.60985097946576	5.906763552483493	576.7832565537715	-58.62908466794357	150.4886504295902	-583.8448568435999	-26.623453194827484	51.394830530178226	-709.7300561339999	375.7863755432924	507.7777777926154	-268.0599070620086	23.86266810248986	210.61681806206525	-120.57133841126596	-379.71056030060805
8	-194.0244439156831	-6.6224438939560555	268.2810567914753	75.98679477345537	-474.6809935162264	5.774250681293288	581.9889437012017	-55.32768330116689	143.3692985454872	-602.8499660360001	-25.718249145892283	48.06227455545448	-799.7830552806666	363.49031495250284	439.2126273490385	-267.6341447472446	23.431582171246852	200.39262375470412	-116.99882921072168	-349.5305147440044
9	-198.6333966541996	-6.486260924710265	281.82020338346024	77.46958953970918	-426.2318305403848	5.9151783122812125	572.1556597086527	-56.28432326133187	147.55157326744043	-578.1614073329997	-26.32674820313011	49.664077252131335	-716.3008952600002	356.141072591517	484.38269868589424	-268.1267454759839	23.899755840096987	210.31676738580003	-123.11972851911258	-364.2011302701076
